Symbol,Company Name,Industry,Market Cap
ANGO,"AngioDynamics, Inc.",Medical Instruments & Supplies,252627444
ANIK,"Anika Therapeutics, Inc.",Medical Devices,277844589
ANIP,"ANI Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1226988400
ANIX,"Anixa Biosciences, Inc.",Biotechnology,99113300
ANL,Adlai Nortye Ltd.,Biotechnology,314390556
ANNX,"Annexon, Inc.",Biotechnology,121384920
ANSS,"ANSYS, Inc.",Software - Application,23879704355
ANTE,AirNet Technology Inc.,Telecom Services,7138952
ANTX,"AN2 Therapeutics, Inc.",Biotechnology,435492892
ANVS,"Annovis Bio, Inc.",Biotechnology,73450001
ANY,Sphere 3D Corp.,Software - Application,12138510
AOGO,Arogo Capital Acquisition Corp.,Shell Companies,46413540
AOMR,"Angel Oak Mortgage, Inc.",REIT - Mortgage,211124376
AON,Aon plc,Insurance Brokers,62643303400
AONC,American Oncology Network Inc.,Medical Care Facilities,223440256
AORT,"Artivion, Inc.",Medical Devices,516691082
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,10457619729
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,650266861
AOUT,"American Outdoor Brands, Inc.",Leisure,108611790
AP,Ampco-Pittsburgh Corporation,Metal Fabrication,52246791
APA,APA Corporation,Oil & Gas E&P,12192274883
APAC,StoneBridge Acquisition Corporation,Shell Companies,82651046
APAM,Artisan Partners Asset Management Inc.,Asset Management,2233413112
APCA,AP Acquisition Corp.,Shell Companies,237403125
APCX,AppTech Payments Corp.,Software - Infrastructure,43432404
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,62357222054
APDN,"Applied DNA Sciences, Inc.",Diagnostics & Research,10243875
APEI,"American Public Education, Inc.",Education & Training Services,74652480
APG,APi Group Corporation,Engineering & Construction,6064415920
APGB,Apollo Strategic Growth Capital II,Shell Companies,371290667
APGE,"Apogee Therapeutics, Inc.",Biotechnology,844740614
APH,Amphenol Corporation,Electronic Components,47704392200
